AUC,AP,Sensitivity,Specificity,Precision,F1,Balanced Accuracy,n_components
0.8638262322472848,0.9583929434331759,0.9682539682539683,0.42105263157894735,0.8472222222222222,0.7277139208173691,0.6946532999164579,1
0.8780284043441937,0.9617820144839244,0.9682539682539683,0.3684210526315789,0.8356164383561644,0.6985294117647058,0.6683375104427736,2
0.8913951545530493,0.9664670808840672,0.9682539682539683,0.42105263157894735,0.8472222222222222,0.7277139208173691,0.6946532999164579,3
0.8989139515455304,0.9679080611749529,0.9682539682539683,0.5263157894736842,0.8714285714285714,0.7812272617026437,0.7472848788638262,4
0.899749373433584,0.967730952632027,0.9523809523809523,0.5263157894736842,0.8695652173913043,0.7670454545454546,0.7393483709273183,5
0.9030910609857978,0.9680085838804839,0.9682539682539683,0.5789473684210527,0.8840579710144928,0.8058712121212122,0.7736006683375105,6
0.9039264828738512,0.9682974915534435,0.9682539682539683,0.5789473684210527,0.8840579710144928,0.8058712121212122,0.7736006683375105,7
0.9114452798663325,0.9707878154012328,0.9682539682539683,0.5789473684210527,0.8840579710144928,0.8058712121212122,0.7736006683375105,8
0.9214703425229741,0.9738515573553193,0.9682539682539683,0.5263157894736842,0.8714285714285714,0.7812272617026437,0.7472848788638262,9
0.924812030075188,0.9758144188715674,0.9682539682539683,0.5263157894736842,0.8714285714285714,0.7812272617026437,0.7472848788638262,10
